,pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,average_time_pair,annotators_contradicting,"('afforded_unusual', 'unusual')","('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')","('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('implied_category', 'rare')","('rare', 'typical_of_concept')","('rare', 'typical_of_property')","('affording_activity', 'impossible')","('afforded_unusual', 'impossible')","('afforded_usual', 'impossible')","('affording_activity', 'rare')"
388,round-fruit,143,15,8,4,0.26666666666666666,0.055944055944055944,61.12735111111111,5bab67d77c0ebe000127dcc5 5de473c81a889c03ebcb80ca 5d10ce3e4217c500197fff6a 5dc029217fa54e4545661559,,,2.0,3.0,1.0,1.0,,,1.0,,,,,,,
198,red-limousine,73,10,4,3,0.3,0.0547945205479452,145.29241904761903,598780a5e8d50e0001d7c273 5dd7f4dbdcec87782e2d4e5c 5ddf8f46d0e07e000a396562,,,,1.0,1.0,,1.0,1.0,,,,,,,,
351,red-fox,147,15,8,4,0.26666666666666666,0.05442176870748299,88.06832476190476,5d1dc300a7056c001674fd3a 5d3337693d0a510019bffca0 5e695bb0254c4a2103ed09da 5e1842435b1c591274aef230,,,2.0,1.0,2.0,1.0,,2.0,,,,,,,,
49,red-mamey,56,5,3,1,0.2,0.05357142857142857,76.09375,5d4ab5d644c0ee0001740f61,,,1.0,1.0,1.0,,,,,,,,,,,
338,red-chameleon,150,15,8,5,0.3333333333333333,0.05333333333333334,64.13720666666667,5b49b7033f5dcc000129002f 5be1c7de91deed00015a97b9 5cb4f4ec46ed1300015b05 5e3b3b935da22c09084bbc02 Programmer,,,1.0,2.0,,,,3.0,,1.0,,,,,,1.0
172,red-ring,150,15,8,3,0.2,0.05333333333333334,53.10763333333333,5cb4f4ec46ed1300015b05 5d82852ae7a57100011a6122 Programmer,,,,1.0,,,,1.0,1.0,2.0,,,1.0,,,2.0
193,red-jade,176,20,9,4,0.2,0.05113636363636364,118.53233954545456,5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21 5c56059aa469aa0001660cb6 5e76ab49dec4562243b421f9,,,,1.0,,2.0,,1.0,2.0,,,,2.0,,,1.0
102,roll-cart,60,15,3,1,0.06666666666666667,0.05,752.6028266666667,Irlen syndrome Screeners,,,,,,1.0,1.0,,1.0,,,,,,,
405,round-snack,60,6,3,2,0.3333333333333333,0.05,70.47066666666666,5ba797ad7c0ebe000127092a Karolina,,,1.0,2.0,,,,,,,,,,,,
190,roll-wrench,60,15,3,2,0.13333333333333333,0.05,526.70742,5dddbebeb966ded354c7ab3b 5a0f2d5110f4540001779ea2,2.0,,,1.0,,,,,,,,,,,,
213,roll-firebox,60,15,3,2,0.13333333333333333,0.05,633.67166,5bbbc0f56322c500015a53a1 5bf077d95fc1db0001305dd4,2.0,,,,1.0,,,,,,,,,,,
138,round-shape,142,15,7,4,0.26666666666666666,0.04929577464788732,76.05146666666668,592bdd896489ca00013b3fcf 5b2c567dc01fcb000187e253 5a298e43e2032600017f44fd 5c1d4d88508cfd000103dc47,,,2.0,1.0,2.0,,,1.0,,,,,1.0,,,
402,red-spice,62,6,3,1,0.16666666666666666,0.04838709677419355,68.86106666666666,5ba797ad7c0ebe000127092a,,,1.0,1.0,,,,1.0,,,,,,,,
344,red-echinocereus,281,17,13,4,0.23529411764705882,0.046263345195729534,649.2514866310162,5adf7fbc09eae200011305a5 5d228245d741d4001aa43eef 5e66856ab10742406840291a 5dac6532ccaa330016e11e8f,,,1.0,,,1.0,1.0,2.0,,,2.0,1.0,2.0,,,3.0
328,round-lolly,281,17,12,6,0.35294117647058826,0.042704626334519574,704.5856235294118,5ae5a589c67d830001ce8c73 5de8e64f913386000ba50bda 5adf7fbc09eae200011305a5 5b222aff59f9620001c109cb 5d36d1001d6ff70001f0f374 5dac6532ccaa330016e11e8f,,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,
290,red-honey,47,5,2,2,0.4,0.0425531914893617,66.34361714285714,5b7aceb29684fc00014f402e 5d6936fb5be0b90001969ba8,,,,2.0,,,,,,,,,,,,
101,roll-surfboard,71,16,3,2,0.125,0.04225352112676056,7326.369087500001,5de560e8cca54a4e59b74553 Irlen syndrome Screeners,2.0,,,,,,,,,,,,,1.0,,
53,red-crow,48,5,2,1,0.2,0.041666666666666664,90.58698,5db954a2af32f6000a8fe36c,,,,,,,1.0,,1.0,,,,,,,
201,roll-bearing,73,10,3,2,0.2,0.0410958904109589,145.29241904761903,598780a5e8d50e0001d7c273 5ddf8f46d0e07e000a396562,1.0,,,,1.0,1.0,,,,,,,,,,
55,red-water,49,5,2,1,0.2,0.04081632653061224,85.50655777777777,5ddae8d6c23e0da4764f9fae,,,,,,,,,1.0,,,,1.0,,,
81,red-oven,147,15,6,3,0.2,0.04081632653061224,87.50875809523811,5e6f8c15fe7a000009575a52 5e1842435b1c591274aef230 5e6f6b7b7a27a35206e5c30c,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,
207,round-table,74,10,3,2,0.2,0.04054054054054054,132.21347500000002,598780a5e8d50e0001d7c273 5de122c7ff15c24523bccf21,,,1.0,1.0,1.0,,,,,,,,,,,
159,red-robin,50,5,2,1,0.2,0.04,68.26532,5c5758e9efe1550001dc31b6,,,1.0,,,,,1.0,,,,,,,,
285,round-pomade,150,15,6,2,0.13333333333333333,0.04,84.41830666666668,5d4434c68225f9001642fcd3 5c98f0f728cfb0001667d035,,,1.0,2.0,2.0,,,1.0,,,,,,,,
424,round-tortilla,150,15,6,2,0.13333333333333333,0.04,81.90526666666666,5d7c8c85f0f16600017679be 5cae11e9d59a05001961a299,,,2.0,2.0,1.0,,,1.0,,,,,,,,
160,round-dessert,50,5,2,1,0.2,0.04,68.26532,5c5758e9efe1550001dc31b6,,,,1.0,,,,,1.0,,,,,,,
389,red-pit,50,5,2,1,0.2,0.04,58.4148,5de473c81a889c03ebcb80ca,,,,1.0,1.0,,,,,,,,,,,
184,round-sapodilla,50,5,2,1,0.2,0.04,89.33108,5de7eb635a8f947536c2e41e,,,1.0,1.0,,,,,,,,,,,,
185,red-miner,50,5,2,1,0.2,0.04,60.64486000000001,5b730c180da966000147f66c,,,,,,,,1.0,,,,,1.0,,,
145,red-leafs,50,5,2,2,0.4,0.04,67.11568000000001,592bdd896489ca00013b3fcf 5b2c567dc01fcb000187e253,,,,1.0,1.0,,,,,,,,,,,
124,round-enchiladas,50,5,2,2,0.4,0.04,82.19323999999999,5c79d035998fb70001efcf1e 5de043dae448c60bb13722af,,,,1.0,,,,1.0,,,,,,,,
314,roll-windscreen,50,5,2,1,0.2,0.04,202.77334000000002,5de5157820c5aa09b7a53b89,,,,,,,,,1.0,,,,,,1.0,
340,red-tiger,50,5,2,1,0.2,0.04,71.91902,5d90a8a31c90470017f38f42,,,,1.0,,,,1.0,,,,,,,,
148,roll-chamfer,50,5,2,2,0.4,0.04,72.17190000000001,5a666a2713898300014b6a4d 5cf91e3f1756e60017a30568,1.0,,,,,,,,,,,,,1.0,,
125,round-cds,50,5,2,1,0.2,0.04,82.19323999999999,5c79d035998fb70001efcf1e,,,1.0,,,,,1.0,,,,,,,,
188,red-celery,50,5,2,1,0.2,0.04,60.64486000000001,5b730c180da966000147f66c,,,,1.0,,,,,1.0,,,,,,,
69,roll-fireplace,50,5,2,1,0.2,0.04,100.78590000000001,5d1a0a47c210c700185e7c05,1.0,,,,,,,,,,,,,1.0,,
150,round-drumstick,50,5,2,1,0.2,0.04,72.17190000000001,5c8bfcd7e5265900010d7ba6,,,,,1.0,,,1.0,,,,,,,,
415,red-cereal,50,5,2,2,0.4,0.04,24.65336,5aeaf8170a90530001bed0a2 5ddd4e1144840502f8c3dfcd,,,,2.0,,,,,,,,,,,,
4,red-cowpeas,50,5,2,1,0.2,0.04,62.771339999999995,5cfa7e66b131cd001aa86c44,,,1.0,1.0,,,,,,,,,,,,
117,red-clarinet,150,15,6,3,0.2,0.04,73.98392,5de936b4f87f550612b5f282 5c41047672b87000013a5f0a 5e67cfb2a3821007f17744c8,,,1.0,2.0,1.0,,,1.0,,,,,,,,1.0
214,red-chicken,50,5,2,2,0.4,0.04,79.21918000000001,5b83c47e67b3b70001915d6a 5bbbc0f56322c500015a53a1,,,,1.0,1.0,,,,,,,,,,,
156,red-ink,50,5,2,1,0.2,0.04,68.26532,5c5758e9efe1550001dc31b6,,,,,1.0,,,1.0,,,,,,,,
392,roll-ski,50,5,2,1,0.2,0.04,58.4148,5bab67d77c0ebe000127dcc5,1.0,,,,,,,,,,,,,1.0,,
391,red-fruit,150,15,6,2,0.13333333333333333,0.04,78.77568666666667,5de473c81a889c03ebcb80ca 5cf5475052e49400153b3c5d,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,
41,red-peanut,50,5,2,2,0.4,0.04,53.84756,5bfa79fdb8a4c50001b8a68a 5c37b6c692952a0001b3216d,,,,2.0,,,,,,,,,,,,
33,round-nut,50,5,2,1,0.2,0.04,42.04644,5de294e8c3bd282be968e7ab,,,1.0,,1.0,,,,,,,,,,,
418,round-cookie,50,5,2,1,0.2,0.04,24.65336,Francesco,,,,,,1.0,,,1.0,,,,,,,
317,round-cheese,151,15,6,3,0.2,0.039735099337748346,119.34799757575756,5d40128e2b6eaf00155f222c 5de5157820c5aa09b7a53b89 5e22fe5aed7a205b0626f097,,,1.0,1.0,2.0,,,1.0,,,,,,,,1.0
311,red-artichoke,152,15,6,4,0.26666666666666666,0.039473684210526314,105.65970727272725,5d40128e2b6eaf00155f222c 5de67b36610fba5ef7b868f3 59f25f8fcc514a00011a673d 5e7376da9674532c00ed8b18,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,
335,red-squirrel,152,15,6,3,0.2,0.039473684210526314,58.48594222222222,5daa50967776b10016e1bc9b 5d0155a1d3e32c00187b729d 5d3bb158d54ca70017784cc5,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,
71,red-tongue,51,5,2,1,0.2,0.0392156862745098,97.51449636363637,5d1a0a47c210c700185e7c05,,,,1.0,,,,1.0,,,,,,,,
196,roll-corkscrew,77,10,3,2,0.2,0.03896103896103896,139.62948571428572,5c617fed0863210001642974 5da4a23630871900154e0d5c,1.0,,,1.0,,,,,1.0,,,,,,,
18,round-dresser,139,14,5,3,0.21428571428571427,0.03597122302158273,69.84421349206349,5bda4059ea656500011d5334 5de0557af31ad20d81756185 5c1d4d88508cfd000103dc47,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,
263,red-vanilla,56,6,2,2,0.3333333333333333,0.03571428571428571,169.40386666666666,5caccbc4976d010014b9cd9d 5ddcbe9cf3b7c2c1d37f3c13,,,,1.0,,,,1.0,,,,,,,,
66,red-ageratina,141,15,5,2,0.13333333333333333,0.03546099290780142,80.76996,5de4f98f047da348a90981eb 5d6c847ba90a23001c46f8b2,,,1.0,1.0,,,,2.0,,,,,,,,1.0
294,roll-quoit,59,15,2,1,0.06666666666666667,0.03389830508474576,763.7040088888888,5b7aceb29684fc00014f402e,1.0,,,,,,,,,,,,,1.0,,
34,roll-pavement,60,15,2,2,0.13333333333333333,0.03333333333333333,581.1032799999999,5b99872a357ce300014f2099 5de2515f676a6d286c48fb2c,1.0,,,,,,,,,,,,,1.0,,
13,roll-calliper,60,15,2,1,0.06666666666666667,0.03333333333333333,473.1904266666666,5de79f78900c1370809c0596,1.0,,,1.0,,,,,,,,,,,,
103,round-juice,150,15,5,3,0.2,0.03333333333333333,55.45925333333333,5cec240c12859100194d9e66 5be1c7de91deed00015a97b9 Programmer,,,,1.0,,,,1.0,,1.0,,,1.0,,,1.0
88,roll-paddle,60,15,2,2,0.13333333333333333,0.03333333333333333,589.6188866666668,5d598dff48766d0001949fb6 5de6e6eda63c7b6655e3eb3b,1.0,,,,,,,,,,,,,1.0,,
115,red-daisy,150,15,5,3,0.2,0.03333333333333333,60.6296,5de936b4f87f550612b5f282 5e4b00acecbca8011a7319c1 5b479eb95a02af0001a79012,,,,1.0,,,,,2.0,1.0,,,1.0,,,
407,round-chocolate,60,6,2,2,0.3333333333333333,0.03333333333333333,70.47066666666666,5ba797ad7c0ebe000127092a ae,,,,2.0,,,,,,,,,,,,
291,round-butter,153,15,5,2,0.13333333333333333,0.032679738562091505,60.35616317460317,5d6936fb5be0b90001969ba8 5e7376da9674532c00ed8b18,,,,1.0,,,1.0,,,,,1.0,1.0,,,1.0
310,roll-shaft,62,15,2,1,0.06666666666666667,0.03225806451612903,657.1755066666666,5de5157820c5aa09b7a53b89,1.0,,1.0,,,,,,,,,,,,,
202,red-sycamore,176,20,5,3,0.15,0.028409090909090908,110.41286583333333,5dd7f4dbdcec87782e2d4e5c 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84,,,2.0,2.0,,,,,,,,,,,,1.0
302,red-slug,150,15,4,2,0.13333333333333333,0.02666666666666667,61.47025333333333,57617fdb1a5ecc0006fc3860 5e4b00acecbca8011a7319c1,,,,2.0,,,,,1.0,1.0,,,,,,
90,round-pudding,150,15,4,1,0.06666666666666667,0.02666666666666667,83.25761333333334,5bae4929254aa9000189a644,,,,1.0,,,,1.0,,1.0,,,,,,1.0
141,red-elm,150,15,4,2,0.13333333333333333,0.02666666666666667,63.90914666666667,5aecb62ab59b0d00012ea1f7 5e4b00acecbca8011a7319c1,,,1.0,2.0,,,,,,1.0,,,,,,
75,round-ketchup,150,15,4,2,0.13333333333333333,0.02666666666666667,84.58045333333335,5c98f0f728cfb0001667d035 5e6f91fe74ff43011dd127ec,,,,1.0,,,,1.0,,1.0,,,,,,1.0
394,roll-saw,43,5,1,1,0.2,0.023255813953488372,62.0604,5c91bad5be78b00016c8329e,,1.0,,,,,,,,,,,,,,
170,red-melon,276,17,6,3,0.17647058823529413,0.021739130434782608,695.5703941176471,5a828ebeeea3d300016e5389 5adf7fbc09eae200011305a5 5e66856ab10742406840291a,,,,1.0,,,,2.0,,,,,1.0,,,2.0
162,round-pumpkin,140,14,3,1,0.07142857142857142,0.02142857142857143,60.36256428571428,5cd94cb10196990019dbcb09,,,1.0,1.0,1.0,,,,,,,,,,,
362,red-rhubarb,141,15,3,3,0.2,0.02127659574468085,89.67895999999999,5de7e9184fc566745514109b 5c91321c0375460001034cb8 5e73c7dbc26506000b938b4e,,,,1.0,1.0,1.0,,,,,,,,,,
288,red-fern,48,5,1,1,0.2,0.020833333333333332,64.98113500000001,5db4ab7dc8f993000c9d2c5f,,,,1.0,,,,,,,,,,,,
21,red-crypt,48,5,1,1,0.2,0.020833333333333332,54.02445,5de0557af31ad20d81756185,,,,,,,,1.0,,,,,,,,
106,round-condiment,48,5,1,1,0.2,0.020833333333333332,30.617880000000003,bladakura,,,,1.0,,,,,,,,,,,,
301,red-dogwood,49,5,1,1,0.2,0.02040816326530612,52.49012888888889,5de76e8d36d8256e47625c4f,,,,1.0,,,,,,,,,,,,
292,red-sand,49,5,1,1,0.2,0.02040816326530612,63.921426666666676,5b7aceb29684fc00014f402e,,,,1.0,,,,,,,,,,,,
225,round-bulgur,50,5,1,1,0.2,0.02,85.33538000000001,5c5758e9efe1550001dc31b6,,,,,,,1.0,,,,,,,,,
61,red-fir,50,5,1,1,0.2,0.02,62.35126,5de4f98f047da348a90981eb,,,,,,1.0,,,,,,,,,,
11,roll-chimney,50,5,1,1,0.2,0.02,61.97248,5de79f78900c1370809c0596,1.0,,,,,,,,,,,,,,,
72,red-wheat,150,15,3,1,0.06666666666666667,0.02,84.58045333333335,5de4bdff9d5c0f063f3f45e9,,,1.0,1.0,1.0,,,,,,,,,,,
76,red-wand,50,5,1,1,0.2,0.02,67.4672,5d16693671c14b0016611eab,,,,1.0,,,,,,,,,,,,
144,red-lemon,50,5,1,1,0.2,0.02,67.11568000000001,5de62d28d82800000b7f2913,,,,,,,1.0,,,,,,,,,
152,red-milk,50,5,1,1,0.2,0.02,72.17190000000001,5c8bfcd7e5265900010d7ba6,,,,,,,,,1.0,,,,,,,
210,round-cube,50,5,1,1,0.2,0.02,79.21918000000001,5b83c47e67b3b70001915d6a,,,,,1.0,,,,,,,,,,,
212,red-quesadilla,50,5,1,1,0.2,0.02,79.21918000000001,5b83c47e67b3b70001915d6a,,,,,,,,1.0,,,,,,,,
321,red-dog,50,5,1,1,0.2,0.02,53.13152,5dd4b451794e10492fe4d7e6,,,,1.0,,,,,,,,,,,,
332,red-vine,50,5,1,1,0.2,0.02,54.214800000000004,5de8e64f913386000ba50bda,,,,1.0,,,,,,,,,,,,
240,red-candy,150,15,3,3,0.2,0.02,63.32956,5dd419b44fee993fe527cac2 5de4f1a3521f954934d8a5ab 5e4b00acecbca8011a7319c1,,,,2.0,,,,1.0,,,,,,,,
250,red-corncob,50,5,1,1,0.2,0.02,56.499919999999996,5ddec0b5535a71e309ca658f,,,,,,,1.0,,,,,,,,,
387,red-yogurt,50,5,1,1,0.2,0.02,58.4148,5bdb859c18f1b90001738f4a,,,,1.0,,,,,,,,,,,,
390,round-casserole,50,5,1,1,0.2,0.02,58.4148,5d7e4e3f3795e900011677fe,,,,1.0,,,,,,,,,,,,
308,round-box,50,5,1,1,0.2,0.02,59.799,57617fdb1a5ecc0006fc3860,,,,1.0,,,,,,,,,,,,
401,red-aubergine,151,16,3,2,0.125,0.019867549668874173,86.48009375000001,5ba797ad7c0ebe000127092a 5e0d4056dcd3e34d031771cf,,,,1.0,,,,,1.0,,,,1.0,,,
398,red-pepper,268,17,5,3,0.17647058823529413,0.018656716417910446,706.8931529411765,5dcfd2481096ea0dc9d510df 5d228245d741d4001aa43eef 5dac6532ccaa330016e11e8f,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,
256,round-pastry,56,5,1,1,0.2,0.017857142857142856,84.5076975,5de67f3e36d8255fc22d6137,,,1.0,,,,,,,,,,,,,
241,roll-backboard,60,15,1,1,0.06666666666666667,0.016666666666666666,764.1891733333333,5dd419b44fee993fe527cac2,1.0,,,,,,,,,,,,,,,
369,roll-pencil,61,15,1,1,0.06666666666666667,0.01639344262295082,534.7454303030303,5b8c02e2355464000101cc7c,,,1.0,,,,,,,,,,,,,
8,round-pizza,277,17,4,1,0.058823529411764705,0.01444043321299639,646.3260336898396,5c8119441c40f30001b464b1,,,1.0,1.0,1.0,,,1.0,,,,,,,,
414,round-basketball,280,17,4,1,0.058823529411764705,0.014285714285714285,643.5544807486631,5dac6532ccaa330016e11e8f,,,,1.0,,,,1.0,,1.0,,,,,,1.0
339,roll-cloth,73,17,1,1,0.058823529411764705,0.0136986301369863,6903.063217647061,59fa2109f4217300016cc688,1.0,,,,,,,,,,,,,,,
130,red-pigweed,150,15,2,2,0.13333333333333333,0.013333333333333334,78.27418000000002,5a4bf85dac413f0001e6076a 5bcbb1963c6f9f0001cc747a,,,,1.0,,,,1.0,,,,,,,,
355,red-garlic,153,15,2,2,0.13333333333333333,0.013071895424836602,62.35288871794872,5d1dc300a7056c001674fd3a 5e7376da9674532c00ed8b18,,,,1.0,,,1.0,,,,,,,,,
203,roll-donkey,85,20,1,1,0.05,0.011764705882352941,525.9973299999999,5c617fed0863210001642974,1.0,,,,,,,,,,,,,,,
270,round-planet,278,17,2,1,0.058823529411764705,0.007194244604316547,653.3630160427808,5dac6532ccaa330016e11e8f,,,,,,,,,,,1.0,,,,,1.0
20,round-bedroom,146,15,1,1,0.06666666666666667,0.00684931506849315,77.89170888888889,5cae11e9d59a05001961a299,,,,,,,,,,,,,1.0,,,
5,red-marinade,150,15,1,1,0.06666666666666667,0.006666666666666667,80.22786666666667,5cfa7e66b131cd001aa86c44,,,,1.0,,,,,,,,,,,,
40,round-mayonnaise,150,15,1,1,0.06666666666666667,0.006666666666666667,59.48644,5d51e1e3d255270001a28fbb,,,,,,,1.0,,,,,,,,,
384,red-pineapple,152,15,1,1,0.06666666666666667,0.006578947368421052,74.66900222222222,5e7376da9674532c00ed8b18,,,,,,,,,1.0,,,,,,,
420,round-lemon,97,15,0,0,0.0,0.0,77.3141626984127,,,,,,,,,,,,,,,,,
364,round-samosa,51,5,0,0,0.0,0.0,84.75889090909091,,,,,,,,,,,,,,,,,
434,roll-carabiner,10,10,0,0,0.0,0.0,889.5613000000001,,,,,,,,,,,,,,,,,
404,red-ant,42,6,0,0,0.0,0.0,100.67238095238095,,,,,,,,,,,,,,,,,
372,round-sausage,50,5,0,0,0.0,0.0,78.14953999999999,,,,,,,,,,,,,,,,,
433,roll-headstock,10,10,0,0,0.0,0.0,889.5613000000001,,,,,,,,,,,,,,,,,
411,red-jeep,50,5,0,0,0.0,0.0,52.5492,,,,,,,,,,,,,,,,,
365,red-coconut,51,5,0,0,0.0,0.0,84.75889090909091,,,,,,,,,,,,,,,,,
366,round-matzah,51,5,0,0,0.0,0.0,84.75889090909091,,,,,,,,,,,,,,,,,
432,red-spinach,100,10,0,0,0.0,0.0,88.95613,,,,,,,,,,,,,,,,,
431,_test3-_test3,30,30,0,0,0.0,0.0,724.6681000000001,,,,,,,,,,,,,,,,,
370,round-biscuit,90,15,0,0,0.0,0.0,128.78223333333332,,,,,,,,,,,,,,,,,
385,red-avocado,15,5,0,0,0.0,0.0,350.6697333333333,,,,,,,,,,,,,,,,,
368,red-currant,51,5,0,0,0.0,0.0,84.75889090909091,,,,,,,,,,,,,,,,,
430,_test4-_test4,48,47,0,0,0.0,0.0,763.2245106382978,,,,,,,,,,,,,,,,,
429,_test2-_test2,52,40,0,0,0.0,0.0,3468.4903562500003,,,,,,,,,,,,,,,,,
379,round-bracelet,35,5,0,0,0.0,0.0,150.28702857142858,,,,,,,,,,,,,,,,,
426,red-allspice,50,5,0,0,0.0,0.0,67.80354,,,,,,,,,,,,,,,,,
2,round-popsicle,50,5,0,0,0.0,0.0,62.771339999999995,,,,,,,,,,,,,,,,,
417,roll-footrest,50,5,0,0,0.0,0.0,24.65336,,,,,,,,,,,,,,,,,
423,round-bread,50,5,0,0,0.0,0.0,67.80354,,,,,,,,,,,,,,,,,
419,red-cilantro,50,5,0,0,0.0,0.0,24.65336,,,,,,,,,,,,,,,,,
371,red-tomato,95,15,0,0,0.0,0.0,122.18932222222222,,,,,,,,,,,,,,,,,
56,round-syrup,48,5,0,0,0.0,0.0,90.58698,,,,,,,,,,,,,,,,,
246,red-fear,15,5,0,0,0.0,0.0,217.92306666666667,,,,,,,,,,,,,,,,,
7,_check3-_check3,92,92,0,0,0.0,0.0,722.4517282608693,,,,,,,,,,,,,,,,,
354,round-chicken,50,5,0,0,0.0,0.0,69.1459,,,,,,,,,,,,,,,,,
146,round-ball,96,15,0,0,0.0,0.0,100.55528888888888,,,,,,,,,,,,,,,,,
153,red-broccoli,55,15,0,0,0.0,0.0,206.8141166666667,,,,,,,,,,,,,,,,,
154,red-magpie,50,5,0,0,0.0,0.0,68.26532,,,,,,,,,,,,,,,,,
158,round-barrel,35,5,0,0,0.0,0.0,97.52188571428572,,,,,,,,,,,,,,,,,
169,red-anger,95,15,0,0,0.0,0.0,106.34015079365079,,,,,,,,,,,,,,,,,
37,round-patty,50,5,0,0,0.0,0.0,42.04644,,,,,,,,,,,,,,,,,
174,red-chive,50,5,0,0,0.0,0.0,23.56302,,,,,,,,,,,,,,,,,
176,round-cream,50,5,0,0,0.0,0.0,23.56302,,,,,,,,,,,,,,,,,
178,round-bottle,50,5,0,0,0.0,0.0,89.33108,,,,,,,,,,,,,,,,,
183,roll-pin,15,5,0,0,0.0,0.0,297.77026666666666,,,,,,,,,,,,,,,,,
191,red-apple,35,5,0,0,0.0,0.0,86.6355142857143,,,,,,,,,,,,,,,,,
200,round-blueberry,55,10,0,0,0.0,0.0,284.9870023809524,,,,,,,,,,,,,,,,,
206,round-bucket,50,10,0,0,0.0,0.0,309.76233571428577,,,,,,,,,,,,,,,,,
211,round-globe,50,5,0,0,0.0,0.0,79.21918000000001,,,,,,,,,,,,,,,,,
215,red-blueberry,15,5,0,0,0.0,0.0,264.06393333333335,,,,,,,,,,,,,,,,,
42,red-truffle,50,5,0,0,0.0,0.0,53.84756,,,,,,,,,,,,,,,,,
142,red-lark,50,5,0,0,0.0,0.0,67.11568000000001,,,,,,,,,,,,,,,,,
140,round-bowl,95,15,0,0,0.0,0.0,116.37525873015875,,,,,,,,,,,,,,,,,
84,round-ashtray,89,14,0,0,0.0,0.0,108.38451190476192,,,,,,,,,,,,,,,,,
60,round-apple,95,15,0,0,0.0,0.0,119.09479841269844,,,,,,,,,,,,,,,,,
63,round-cantaloupe,95,15,0,0,0.0,0.0,121.17703174603174,,,,,,,,,,,,,,,,,
65,red-brick,35,5,0,0,0.0,0.0,89.07322857142857,,,,,,,,,,,,,,,,,
68,_check4-_check4,131,131,0,0,0.0,0.0,805.5745190839693,,,,,,,,,,,,,,,,,
79,red-paint,95,15,0,0,0.0,0.0,126.64187142857145,,,,,,,,,,,,,,,,,
80,red-pistachio,50,5,0,0,0.0,0.0,67.4672,,,,,,,,,,,,,,,,,
85,red-recorder,50,5,0,0,0.0,0.0,67.59326000000001,,,,,,,,,,,,,,,,,
139,red-shallot,50,5,0,0,0.0,0.0,67.11568000000001,,,,,,,,,,,,,,,,,
51,red-chocolate,55,5,0,0,0.0,0.0,76.75705333333333,,,,,,,,,,,,,,,,,
94,red-bus,92,15,0,0,0.0,0.0,150.52951746031746,,,,,,,,,,,,,,,,,
50,red-fenugreek,54,5,0,0,0.0,0.0,77.51511428571428,,,,,,,,,,,,,,,,,
107,round-candle,95,15,0,0,0.0,0.0,90.00209841269842,,,,,,,,,,,,,,,,,
131,round-banjo,35,5,0,0,0.0,0.0,100.21117142857142,,,,,,,,,,,,,,,,,
137,red-ambulance,35,5,0,0,0.0,0.0,49.42391428571428,,,,,,,,,,,,,,,,,
216,round-pen,35,5,0,0,0.0,0.0,79.15891428571429,,,,,,,,,,,,,,,,,
226,red-strawberry,95,15,0,0,0.0,0.0,109.86465079365078,,,,,,,,,,,,,,,,,
228,round-cabbage,35,5,0,0,0.0,0.0,121.9076857142857,,,,,,,,,,,,,,,,,
324,round-breadcrumb,50,5,0,0,0.0,0.0,53.13152,,,,,,,,,,,,,,,,,
313,roll-wheelbarrow,51,5,0,0,0.0,0.0,197.1172927272727,,,,,,,,,,,,,,,,,
315,red-rhino,50,5,0,0,0.0,0.0,202.77334000000002,,,,,,,,,,,,,,,,,
316,red-cabbage,35,5,0,0,0.0,0.0,289.6762,,,,,,,,,,,,,,,,,
318,red-barn,35,5,0,0,0.0,0.0,75.90217142857144,,,,,,,,,,,,,,,,,
320,red-guava,50,5,0,0,0.0,0.0,53.13152,,,,,,,,,,,,,,,,,
323,red-cat,142,15,0,0,0.0,0.0,70.43057333333333,,,,,,,,,,,,,,,,,
12,roll-polyurethane,50,5,0,0,0.0,0.0,61.97248,,,,,,,,,,,,,,,,,
15,_check2-_check2,98,87,0,0,0.0,0.0,1985.8152643678163,,,,,,,,,,,,,,,,,
336,red-ruby,50,5,0,0,0.0,0.0,56.65174,,,,,,,,,,,,,,,,,
337,red-vinegar,50,5,0,0,0.0,0.0,56.65174,,,,,,,,,,,,,,,,,
345,round-banana,35,5,0,0,0.0,0.0,102.74145714285714,,,,,,,,,,,,,,,,,
348,red-watermelon,50,5,0,0,0.0,0.0,69.1459,,,,,,,,,,,,,,,,,
352,round-beet,93,15,0,0,0.0,0.0,142.23831349206347,,,,,,,,,,,,,,,,,
353,roll-wagon,50,5,0,0,0.0,0.0,69.1459,,,,,,,,,,,,,,,,,
306,roll-pen,35,5,0,0,0.0,0.0,85.42714285714285,,,,,,,,,,,,,,,,,
289,round-atole,44,5,0,0,0.0,0.0,74.51851000000002,,,,,,,,,,,,,,,,,
