pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,n_possible_contradictions,contradiction_poss_contradiction_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')",annotations_with_contradiction,"('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('affording_activity', 'impossible')","('afforded_usual', 'impossible')"
red-celery,50,5,2,1,0.2,0.04,40,0.05,60.64486000000001,5b730c180da966000147f66c,5c0fc9645096c60001f15b12 5dd7bd5fe9a0ba7539b35a99 5dddbebeb966ded354c7ab3b 5a0f2d5110f4540001779ea2,,,1.0,36df8659-f6fc-4691-b706-e7fb13980e81 96e05b3d-0fd4-46b3-b02a-dd40020fc13e ee33ae8e-ab23-4bec-8e89-338263ef26c2 cb5cdb70-25c9-4531-8914-5cb0f0fc16b1 47f5b65f-a903-484d-a3b1-4397a6d52960 c42523e6-b059-4384-8c3d-329b66e7ce78 abe01767-8f59-4029-a7d3-f65f935f6a54 2c16de6f-1d40-4993-8067-2d2c132046a2 d0bbce7b-f8fa-4973-ab94-cd5c1fae80c6 7f2d4845-fdbc-4acc-9539-5008399a996e,,,,,1.0,,
roll-washer,50,5,4,1,0.2,0.08,40,0.1,79.21918000000001,5bf077d95fc1db0001305dd4,5aad5d5a917b3b00010d42a1 5b83c47e67b3b70001915d6a 5bbbc0f56322c500015a53a1 5de4233a9d5c0f0165d7d35e,1.0,1.0,1.0,ff29bb1b-c4c7-4cc7-8609-1d04d1636143 187aa05d-0590-46ec-ae18-e2ffa91b7fba 30484b63-02cd-48e1-b0fa-d9058c573565 fe2acecc-2e88-4b9f-bd5b-2cc22e646691 2b1a6610-cdbe-48da-b4e3-e028ad1a6a35 4dfb01fd-4d33-41a3-a5d2-664d35bc7c13 1e90e39c-929d-4806-bb41-7a9bb30c13f6 f9da8a3a-379b-4cc7-84e3-082dc8b9487f 4e7e0c4d-9578-4cd5-ad4f-03e11756664a 6e5c67ad-d4f1-4949-a200-28060e5f56df,1.0,,,,,,
round-cube,50,5,1,1,0.2,0.02,40,0.025,79.21918000000001,5b83c47e67b3b70001915d6a,5aad5d5a917b3b00010d42a1 5bbbc0f56322c500015a53a1 5bf077d95fc1db0001305dd4 5de4233a9d5c0f0165d7d35e,,,,5b5cb448-5dd2-44dd-916c-f9a3c56a1e6c 35e0635d-0921-4e7a-a7a6-a6ad3215167a c7e203c0-d742-4e16-868c-4d6a74e557e6 c4c693a3-115b-41e3-8bc6-33b378b1879d be10b5a2-feeb-4566-b439-d298f723a14b a7001fb5-97a5-4abf-ada4-9888a6962c67 69c3e5db-0f91-4fe2-a809-0b4659837ded 3c02786d-dd99-46ce-bd4d-999233d3cd1a 25655932-217b-498e-a528-6dfd98044d45 701ad834-c125-44b0-8f39-111661b09491,1.0,,,,,,
red-quesadilla,50,5,1,1,0.2,0.02,40,0.025,79.21918000000001,5b83c47e67b3b70001915d6a,5aad5d5a917b3b00010d42a1 5bbbc0f56322c500015a53a1 5bf077d95fc1db0001305dd4 5de4233a9d5c0f0165d7d35e,,,,362d708c-a58f-41d2-842c-f821f469945f 14cf5c5d-bf13-450f-ac03-734e49ce8ddf 80ca25a2-9c72-46d3-9e95-278c95e7999f 153d0918-7f68-4131-bfdf-9532f0fcaeee 190bf862-5680-4b77-927a-1890c3ee2a9c 939b2238-7974-48ca-89f1-9799ed1e5d15 9ef252b7-01b2-4736-80f2-0317daff1f97 80717c0f-d0c8-4dba-901f-35acddb5ac3d c7e4ea3c-22c4-40f0-a184-7825dcaed23a 9432b615-8174-4545-8952-6ea385d7b9bc,,,,1.0,,,
roll-firebox,50,5,1,1,0.2,0.02,40,0.025,79.21918000000001,5bbbc0f56322c500015a53a1,5aad5d5a917b3b00010d42a1 5b83c47e67b3b70001915d6a 5bf077d95fc1db0001305dd4 5de4233a9d5c0f0165d7d35e,,,,a7bc3ac4-d8b8-4372-ad8a-bfcedfef9a3c 399c02e0-5c2e-4822-bc42-0e4afc071110 0a03ece8-bb17-45c2-824d-00b89f690a5c ada3f281-f719-4394-a532-65f075f6c7d6 354325ba-7957-4c15-b2c2-98f747e155d3 6fccc38e-4d2b-4882-8cf4-7e621de228c7 76aaba7b-265a-447d-a7bc-f63794e1658c 960c6bcf-366d-4cfc-b448-ba763f9a426d 323ac4ef-8b02-4e2f-a9a0-f09839205dd0 2d6bdb2c-4e75-4561-b5e2-842caf675621,1.0,,,,,,
round-vegetable,50,5,4,1,0.2,0.08,40,0.1,44.86628,5cd94cb10196990019dbcb09,57a25e691602010001041ab1 5bb202b18aba5700017f36f6 5d1cf9681118d600011be7ff 5de79de25feb6e705b799e45,,1.0,1.0,efd8394f-09f3-4b4b-9b3d-e416fa989974 64686ae7-f8f5-4cbc-b05a-2af7640e6697 e6cce57f-9a86-4015-96e5-b747c695a54b 5de7e29d-35f4-4074-bdf9-5a08f8988161 538909a3-a255-4a81-9109-c51386fe2518 abf4bae9-35ba-435d-a0df-aeac1660b4ce 6f8555c7-86f5-4a6a-a347-0ee5d58f1790 2af55304-8836-4641-80b3-5bace914df08 e2524dde-5f97-4f35-a0ef-20cd4872b2b1 14abda4c-a2e8-4130-8147-87c5e0dd337d,1.0,,,1.0,,,
red-sauce,50,5,6,1,0.2,0.12,40,0.15,44.86628,5cd94cb10196990019dbcb09,57a25e691602010001041ab1 5bb202b18aba5700017f36f6 5d1cf9681118d600011be7ff 5de79de25feb6e705b799e45,,1.0,1.0,6145b616-e0db-415d-95e2-f37c5f99251f bddbd7e6-8c26-43ec-8f9c-5f3002b356cf c899fe44-f33c-44bf-b0dd-670a5a6328bf 371a6a40-5f84-45a9-b2d2-8b851ea4f253 f928c61c-e1e1-490b-89c6-565607eb6812 cc3c67a2-d69a-423e-80cc-8e3acba44a9d c4ca89ba-46f3-46cf-8dbe-598dcaec1f22 1904c9f9-6b49-487b-800b-13774a2b7467 ecd847b4-2a9d-4433-830c-f353c97948db fbb33128-3622-4067-91fc-5ff145801c46,1.0,1.0,1.0,,1.0,,
round-cds,50,5,2,1,0.2,0.04,40,0.05,82.19323999999999,5c79d035998fb70001efcf1e,5b9581133b90af00014e3cb2 5baed9241fefee0001ecb8c3 5de043dae448c60bb13722af 5de2414f93203f26d66ba564,,1.0,,2e85993f-51ed-4b5e-bd9f-6b19110aa4f3 2042f06d-9080-41df-b9db-e09e70096392 0db9333e-be83-44bf-a4fb-f91c4cf0da20 6e4a78d5-0814-4047-93f4-efe5a4a98d53 e4373559-4080-4cf3-bced-de6dbec62086 04bb0062-cb5e-44e8-b4ed-1df8ed46de2d d4b1e9d5-3cb7-4ed7-8658-a88b1eb94706 ab98e15c-e4d3-4735-abf4-b835f995d44a 916ae52e-69d0-407c-a362-8b82b3fd8663 1fc5fd43-50b7-41fd-8709-b1cd23065854,,,,1.0,,,
round-pumpkin,50,5,3,1,0.2,0.06,40,0.075,44.86628,5cd94cb10196990019dbcb09,57a25e691602010001041ab1 5bb202b18aba5700017f36f6 5d1cf9681118d600011be7ff 5de79de25feb6e705b799e45,,1.0,1.0,01ef7a6f-b776-4b28-9c4d-9b04c513a2c9 501dddc9-fb01-4bd0-ba0b-5649a2d18108 e3ac484f-c66c-4c92-a72b-c5edd17ae472 0d65fd01-96b1-4a2b-9ea3-c47ac676df8f 350508dd-0fdf-4fbe-83e7-be31e072132f 1769906a-ddf5-40b8-b8ab-bf8e45852025 acc9a7cd-9193-495a-a24d-77b02ae77fc7 7b576e08-bf65-4ff9-baa4-8be01f3bf1c6 25473bf8-077e-4c52-a0d4-5eee6049c3e3 74854137-9867-4a5d-8ca5-0409ca5c6d67,1.0,,,,,,
round-dessert,50,5,2,1,0.2,0.04,40,0.05,68.26532,5c5758e9efe1550001dc31b6,5b9335109665440001c74437 5c5b333a2b7de10001b78759 5c5b57d70be57e0001fa116d 5cc84582e5752200014739cf,,,1.0,a803bd94-e63d-4fb8-890b-d3f05a433fc6 63c1a1ce-f8f0-404a-9c19-5d997105c74a 4edfe871-e3cc-4b1d-9d44-2840e6539d7a 20c639b1-c9b9-4fa0-9873-add142ff4ae3 a49e32a2-b582-47db-91c4-fef0fdc18ee3 90f51530-c93a-435e-82a6-3a14f62de43f 451ebdd6-89eb-4d2e-9d28-99285b0e9007 450168ef-abd0-44b7-8bac-049cdced7761 927f3a05-9f49-4f92-84b1-f3f9388ddc38 993b7846-23e9-493a-b67f-b83f547cc9ea,,,,,1.0,,
red-juice,49,5,6,1,0.2,0.12244897959183673,38,0.15789473684210525,30.617880000000003,bladakura,5cec240c12859100194d9e66 5ddd00151b7f3f000dae7197 5de560e8cca54a4e59b74553 Irlen syndrome Screeners,,,1.0,29802577-901f-47e4-8f83-d563374a729b 32f76df6-fa1e-4bfa-97cd-7ffe2de96732 f346203c-b236-4bcf-a3ea-50c5920b968a 474d8d75-8b20-4d93-8126-5b1f249131d3 8d63b8dc-e79f-4e44-ab99-f50013d66201 572b2c88-7092-4691-8f06-6e78171d5a67 f4616c31-8a27-47d8-9b5a-70601f291cea 1bbdeeb4-9069-4ddf-a1fe-0294893b73f3 ba6eac30-6bf7-4961-ae8c-a436c3f6bf40 f60fe53d-e97c-41e5-9c36-9ba266319489,1.0,,1.0,1.0,1.0,1.0,
round-juice,50,5,2,1,0.2,0.04,40,0.05,30.617880000000003,5cec240c12859100194d9e66,5ddd00151b7f3f000dae7197 5de560e8cca54a4e59b74553 bladakura Irlen syndrome Screeners,,,,35882066-a723-4d52-8a55-31571df0c1d6 061a494a-c455-4d44-a74f-c5770147d0fc b75df42b-a919-4c21-ba3b-03846e9c15a2 1db0052d-9aad-44ce-84e2-8ba457a2dfbf 975a45de-17f8-446d-b18e-af1d086684c3 a31c2b43-5b03-4ff1-a878-292ba705e69a 1685bb49-94fd-4d95-bd32-593a5a20ddca 7d91a635-7f5a-43b0-938b-9d138736ca8b 985a9eb4-a88d-4d5c-9953-c751552f308f 1d975a94-563f-4b3a-8c80-85996774884b,,,,1.0,,1.0,
roll-cart,50,5,3,1,0.2,0.06,40,0.075,30.617880000000003,Irlen syndrome Screeners,5cec240c12859100194d9e66 5ddd00151b7f3f000dae7197 5de560e8cca54a4e59b74553 bladakura,,,,5e896be5-fd93-4330-a70b-d2cb4ad1da50 40afe551-f8a4-4cbf-8652-d655dfd90b25 28172aa6-1472-4250-bc9b-849382e3c561 831947a6-6307-4036-b189-68cdcce4d3d2 0f08631f-f090-45ab-a299-a43f4d86f2f7 44b2b61e-af1f-47f0-86db-acc68c850db9 2e449cdf-c0fc-4f90-99cc-94b54fec982f a964f4ad-e393-4fba-8936-a52135b44de7 12c780b6-30c0-48aa-bddb-c48e1d5fd584 d4463908-0f8f-49e9-840b-0f778acd4b30,,1.0,1.0,,1.0,,
red-robin,50,5,2,1,0.2,0.04,40,0.05,68.26532,5c5758e9efe1550001dc31b6,5b9335109665440001c74437 5c5b333a2b7de10001b78759 5c5b57d70be57e0001fa116d 5cc84582e5752200014739cf,,1.0,,198ca53b-b75b-4738-bd55-b5e6307af8cd f76bc570-33dd-40ea-98a5-21986584f4db 9d660652-9fd6-4418-9df2-5981752f6a10 37583675-11f0-45ad-9ea6-dacf91ab1385 ed7e61be-4791-4dd6-a115-967c87ce4d56 ecd739c9-c12b-4be7-85ed-bcab550bc6e1 82de5f8c-bc3d-4611-b56a-1e3e861bbfba 121eeca0-cd27-4d64-82ca-28e07373f619 612eb252-03b1-4c4c-9847-b3692d4da51c 8c985f02-f125-4fde-87d0-c9e2b4836e00,,,,1.0,,,
round-custard,50,5,2,1,0.2,0.04,40,0.05,68.26532,5c5758e9efe1550001dc31b6,5b9335109665440001c74437 5c5b333a2b7de10001b78759 5c5b57d70be57e0001fa116d 5cc84582e5752200014739cf,,,,3b71b6f1-f7dd-4133-828b-1c193065f0d6 16c26796-54a4-4837-9da2-d4036a31cf70 72d57946-3fd6-45fc-9c29-70a812098574 6ab41441-8dbd-4f41-ad21-680dae3f1771 4300ea5b-00ac-4187-8b0c-5eb00c24e1db f4258c63-5edb-4645-a4f1-32cd21264a43 fc943d5f-3575-4dcb-ba85-8369e579c6ee 3c52e5a0-6217-42c4-8b74-cf0886f658bf 367e800a-beef-4a03-84cf-073975ba6952 ae3098cb-07d1-4ffc-b721-c27fd1661d8c,1.0,,,1.0,,,
round-sauce,50,5,1,1,0.2,0.02,40,0.025,55.41124,5de7d4bb0d75cf000df7cb3c,5b8d575aafe6be000115695b 5d667b2ac25c160001b0a6da 5ddb44664a113aaa06465dbe 5de631043cf27959fe70269c,,,,75f139ca-7021-4e8c-aa55-fff1c25ccefc b2dfaf6f-3163-4fa5-bf2f-78b98eebc97a 7e0a4d01-5c0e-4a2c-9c4c-9ac3e318174d f8302f36-9636-4c4e-ba14-7ce8aa038bd8 49e248f2-0586-49df-9ea3-b6f1001fbd3f 2b7476ab-d5d6-4a13-a315-a58dcf84117d 06e84cee-4538-431b-a8f9-13874fb369c1 8f164f0e-cdfb-4de3-88e8-5396fd5935e9 a819ac95-c940-4af2-a274-a69bbd876bb8 498f8888-c9d0-4309-b900-ac629b3c74d4,,,,,1.0,,
round-seasoning,50,5,3,1,0.2,0.06,40,0.075,55.41124,5de7d4bb0d75cf000df7cb3c,5b8d575aafe6be000115695b 5d667b2ac25c160001b0a6da 5ddb44664a113aaa06465dbe 5de631043cf27959fe70269c,,,,d62d236b-39fd-4703-b142-cf4e3d6ded84 d16a89b7-4c37-4ceb-8255-2952ba3c0187 ceeaa610-6da6-4376-bd94-44c985e973d2 bba2ee81-230f-4d47-836e-131d79149dfe 87eab24f-85c6-46f1-b04d-b147705d68f5 6ab8a9fc-9b4a-45d0-8e75-7597cea8ff4e 6bcc2846-5d33-4116-9637-1774dcaf97e4 82bbd888-5000-47fd-b93f-228123af68e8 78f8b51e-c416-4197-8f9b-0d7a09376035 af8c3933-06f1-4956-bcba-4e82e6230515,,1.0,1.0,,,1.0,
red-lime,50,5,4,1,0.2,0.08,40,0.1,57.277040000000014,5de936b4f87f550612b5f282,5c547ab2fd88bb0001868aec 5c9e010f7706ba001215deb1 5de85bd4ead0f17d1e35930b 5de938ece4d1830288b70b33,,,1.0,c2e7b333-05f5-4ec5-950d-fd1b00647c9d ebd64345-1dd5-4a7b-9df3-def284b78ea4 e53e75ae-dcd2-4a54-93fa-8127aa3aeedd 0069bdb9-74e6-449e-8345-27c58688abdd 65c11225-dffd-4ea4-b3b1-49279904775e fc9ede9c-3115-491b-b56d-2bab4d64057d 13cd9f5c-e3ec-417f-878a-a5520b4ded80 f4c413b0-e9e7-45f2-b23b-7a94c4129e2b 0c4d42a3-650c-4318-9f4c-b443fa1be2f7 64ce98e6-31ef-4124-ba83-2dd92925bcaa,,,,1.0,1.0,1.0,
red-melon,50,5,1,1,0.2,0.02,40,0.025,23.56302,5a828ebeeea3d300016e5389,59d3764946447f00011f0407 5b2421a25b5c0900018a69aa 5b2e41eb1d2f710001fb32db klarinka.b@gmail.com,,,1.0,18e40d5d-4f54-4442-a996-3e1041fa101f 072609d9-4e48-46db-ae43-111c821a6090 7eb2065a-2ceb-47b5-b248-824875ee7e50 4b948856-febd-453c-a431-f74dc59b8297 cf3d768f-41cd-4cd4-891b-a988ee1a9593 ef4335d5-c00c-48dc-ab5a-0c846b386826 ced27a96-8551-490c-94ef-0b110a49b36e 908d8140-328f-4cce-83d1-354afe8af236 dd0f841f-31ea-4606-a23a-d83273fa6bba 13c8e2fd-972f-4f5e-be51-b35e5cfe6ff0,,,,,,,
red-ink,50,5,2,1,0.2,0.04,40,0.05,68.26532,5c5758e9efe1550001dc31b6,5b9335109665440001c74437 5c5b333a2b7de10001b78759 5c5b57d70be57e0001fa116d 5cc84582e5752200014739cf,,,,255bddbd-b193-46ad-b397-130232d4dfa1 d36d19c7-0413-4da5-a02f-cd35afbe5fc5 176fbc77-ac91-46a8-92d6-49bdc045ecbb bf652f66-5d07-4d77-8e10-8ee91849ff8d 648e09b5-6d37-4f59-8c2c-958705247d84 60705300-be68-4c2e-80d6-440ab3dc8d56 7d89d2d0-7ec7-4064-8f6a-a2a31d8d0190 09097da7-3046-4684-ae8f-75cf74378bec 810c317f-e0df-4f8d-8f02-120041a61ac9 d6082fb4-719d-47c6-84d5-c2f7ea1aa085,1.0,,,1.0,,,
round-table,74,10,3,2,0.2,0.04054054054054054,48,0.0625,132.21347500000002,598780a5e8d50e0001d7c273 5de122c7ff15c24523bccf21,5ba909c938803d00012708e0 5be964367514d0000108cefc 5c617fed0863210001642974 5cc7af94cd7a550019b5a460 5da4a23630871900154e0d5c 5dd7f4dbdcec87782e2d4e5c 5ddf8f46d0e07e000a396562 5de0ce83cca54a1199017f73,,1.0,1.0,b4d69e85-1ff7-4340-8dfa-367801ce5a80 40589ab0-025b-44cd-8867-03c4596630f4 ee2e3a1d-7570-4b6c-b1c2-c0a6c51f973b a2791140-ff94-4910-b7cb-83ea72f2f964 36c9b10a-4a37-43c4-86f5-d1554b4785b2 e0d64617-c16b-4f75-af38-b3d438deb5ce a642e373-b2bc-43cc-a581-c524666aec3d b5257e74-2b85-45ce-865e-5632fb6a336f d1b88570-5073-4e0b-8458-39aa9a1fc7b0 f24cedfa-569a-4ebb-87a3-2178337285ae f60319cc-44eb-4dc6-8f4c-8ca487fd3884 0f0ae5a4-2261-42b9-b755-ee36680bb9d3 b86ae09f-f0e2-48c7-b059-b1e8a29a96b4 1fe6ff71-8a59-4d9c-912e-8474dc516dc2 5d5ab5a4-90ab-4baa-b392-ee4d038130f0 eb330ddd-ca10-4d62-965b-6fe705995f04 bda9f0e8-e4e8-4c15-820d-f70eaa17e5ce 473ec631-9b0f-47a0-ae8d-c5afbb39acd7 f65f29b5-8d2b-4292-a2bc-6deea03c3ba7 ad7490c8-e569-4898-aa76-4598f6747155,1.0,,,,,,
roll-handrail,50,5,2,1,0.2,0.04,40,0.05,89.33108,5de7eb635a8f947536c2e41e,587968cb5c17910001ea5190 5b5c2fdbf7591300019061a1 5c2e0e0b8a20f50001e9fba0 5de7fd8df31ad27743f8d19f,,1.0,,ec17db92-6596-4e77-9fca-d29c9216ec05 41f4e4d6-f43b-45f1-8d4a-925cc315bc4c a5555807-9b01-4ba6-b0a9-5459c5c96221 00dfc47a-4978-440f-b748-383ada7cecf9 25f90ea1-2344-4182-a040-26931c5fc95f c11d1457-d0f0-44fc-b610-030f7a500412 26816034-7ed7-4b19-8c29-a934cbd61d10 ea53e3d8-fe1e-4ac5-843c-b8d4e508f7d8 3d006789-8a19-4dfa-b43d-1da5357f72a3 14bf6452-3f38-46a1-a797-79253735a185,,1.0,,,,,
round-spoon,50,5,2,1,0.2,0.04,40,0.05,89.33108,5de7eb635a8f947536c2e41e,587968cb5c17910001ea5190 5b5c2fdbf7591300019061a1 5c2e0e0b8a20f50001e9fba0 5de7fd8df31ad27743f8d19f,,,1.0,5838576d-4ada-4e93-bdc1-2287a5dd9128 02bf8d61-7d5a-4ca7-a2cf-f35b336f4cba 27e156a2-745d-4932-af76-f533fffc2a7b e64ae812-a00a-4e0d-b057-0ce64731428c 0ee2df51-95a6-4504-a711-bb0e43480856 9851a2f4-1d3c-4218-bf08-9036a1e61d76 6f04626e-93ef-424d-919e-9f8566d76985 2aa66378-25a1-4bb5-ba2b-fe9ad4268059 59007d50-e25d-46d5-bd4f-50f4eb9efcbb d3f1a0d6-2f16-454e-8284-30eee0247ca8,,,,1.0,,,
round-sapodilla,50,5,2,1,0.2,0.04,40,0.05,89.33108,5de7eb635a8f947536c2e41e,587968cb5c17910001ea5190 5b5c2fdbf7591300019061a1 5c2e0e0b8a20f50001e9fba0 5de7fd8df31ad27743f8d19f,,1.0,1.0,43b6c82f-3b8a-4984-9b1b-eb8483fbe554 07f02375-74c6-4cb9-85fe-face9694776d c01751b4-50d3-488c-b595-dfe9ac567529 9f872d59-3041-49b5-a029-884567c14e6d 2e020165-b198-410b-89b8-1d6fe6cc99ad 8803b2c4-b52c-45c7-942c-80484e1c8a26 12892319-6c4f-49d5-bfc1-cde95b9bd7d4 8a04b978-24f1-4be5-9e6a-4af32b653532 d226074b-a729-4893-975b-b6dbdc052330 071d6566-76dc-483f-a0f5-0fc5578d3004,,,,,,,
roll-handlebar,50,5,1,1,0.2,0.02,40,0.025,89.33108,5de7eb635a8f947536c2e41e,587968cb5c17910001ea5190 5b5c2fdbf7591300019061a1 5c2e0e0b8a20f50001e9fba0 5de7fd8df31ad27743f8d19f,,,1.0,907872c3-c5ab-4bcc-9728-a73070cdc604 b72029c5-134c-4ca4-9f82-8b991f5f4c6c a8234701-d85b-497d-b3a4-cee6df5d5357 28003681-91f4-4077-b804-09895f7f7844 6a7690e8-2814-4b7b-a6df-8eaf18c47772 c5536397-e0df-4c63-a0bd-c4dab9ea6ae6 1f463100-1876-44a0-a0d6-776ed510eca6 43f7dc46-0d12-4beb-abe3-6f81aacf1f83 3dc90f6f-f969-4b9f-beab-95d77cc0a88c efb0aab5-df85-4c83-b26d-e7c094900514,,,,,,,
red-miner,50,5,2,1,0.2,0.04,40,0.05,60.64486000000001,5b730c180da966000147f66c,5c0fc9645096c60001f15b12 5dd7bd5fe9a0ba7539b35a99 5dddbebeb966ded354c7ab3b 5a0f2d5110f4540001779ea2,,,,c6af4c2a-44cd-40ab-9efa-f0be6b648d02 76ba7948-93da-4a80-8d75-fb8315c9a06b eb259618-281e-403c-9709-e5ae83c33fbe 6041b8f7-b146-413e-a189-a632540f6331 b6c43a8e-457a-4419-b070-a834ec0d62a2 ed15e625-ff79-4bf0-960e-d9430175e8a5 43091344-8a9c-48d6-8a21-3a0730be6c80 b8001edc-ea29-44e8-b795-2bc43e0dbb8b b08a622c-8879-4e78-9e02-db54a0efb914 4ad9e071-ad73-4e2d-88b2-04e5987e1132,,,,1.0,,1.0,
red-crab,50,5,6,1,0.2,0.12,40,0.15,60.64486000000001,5b730c180da966000147f66c,5c0fc9645096c60001f15b12 5dd7bd5fe9a0ba7539b35a99 5dddbebeb966ded354c7ab3b 5a0f2d5110f4540001779ea2,,1.0,,ea22233c-32b7-4e65-b381-5cb177cadcdf 3d0b63cd-fd6d-4396-9015-68481b5d5fc4 f2483595-62fb-4291-9cb3-e9619cb9ef12 76865318-1a4e-483d-ad30-8d93a533f735 f4e56951-19b0-4245-b791-0a78062d2878 d6fb5449-f6ce-428f-b1c0-7cf5e64290e5 74f4cdbd-bf6b-4445-bff1-4407e747dead c7413d6f-b082-4aa5-8e3c-e8350a4f3f32 b6d4356f-b35a-420e-a2af-3fcddd0cc43f bcbab823-245c-44e4-bfad-f5181c0ef573,1.0,1.0,1.0,1.0,,1.0,
red-clarinet,50,5,3,1,0.2,0.06,40,0.075,57.277040000000014,5de936b4f87f550612b5f282,5c547ab2fd88bb0001868aec 5c9e010f7706ba001215deb1 5de85bd4ead0f17d1e35930b 5de938ece4d1830288b70b33,,,1.0,d893dee3-a3af-42ba-b605-43486da93442 f701ccd8-9de8-4a65-a787-6e47f63c4982 143bfde6-31c2-43d8-a368-b9e093c88568 d7e67fb9-3b5d-4b1d-b577-052dd1ad88db fcdb3a1d-b928-48a8-96b2-3f13aadd5353 76549e6f-b957-45a7-ad44-57cc14179ace 2264ff42-4988-4989-96b4-ca00f883dede 6833f490-85bf-40e9-865c-7ace4941b296 58a53857-70aa-43cc-9f47-0f6cabb963f1 89f52d49-bee3-4ea4-a91b-410bcd7e3e5d,1.0,,,1.0,,,
red-daisy,50,5,2,1,0.2,0.04,40,0.05,57.277040000000014,5de936b4f87f550612b5f282,5c547ab2fd88bb0001868aec 5c9e010f7706ba001215deb1 5de85bd4ead0f17d1e35930b 5de938ece4d1830288b70b33,,,,1271efe8-d139-42fa-ba3b-04b661d7b33d ec33c2a7-d22b-4306-9d5b-a4de3c30885e e4163398-d8e0-4d88-898b-d18e6e14fd14 c3e711af-4235-4f2c-8ac5-a37fc55b87e4 58edef65-27db-4cf9-81c7-fd7008a53b83 e4f6d211-3d3c-4707-9e69-1c953f3ef7fc eeb6480b-81cd-4be2-a578-95be22709e7d 1aab69f3-7df0-463d-b9ce-47519b6e7020 5cc88c89-10ad-4961-88aa-e145d73ca6a1 9cfc6eb5-0586-4f98-aaca-bf3902d19118,,,,,1.0,1.0,
roll-wrench,50,5,1,1,0.2,0.02,40,0.025,60.64486000000001,5a0f2d5110f4540001779ea2,5b730c180da966000147f66c 5c0fc9645096c60001f15b12 5dd7bd5fe9a0ba7539b35a99 5dddbebeb966ded354c7ab3b,,,1.0,952adb73-5164-45b9-be6d-5d42e7a3767b c9e10cad-6d57-4d54-95ea-814cfbb6e753 7cdebb60-7c00-44c8-802e-7bf55ef7af72 e9954d74-37ff-4b8d-9559-543c3654bb34 fe5c88ed-1fd5-4e9e-99e4-9a868731f13c 8c092b83-ba47-4a56-847b-a883857dd8d7 320c6f05-a34e-4e91-b704-36ae144f9bed 8a46641e-dac8-44f5-b3d3-4772cc65c5fa 0c847dc7-455e-4601-a324-e1cb7dc960e5 8c21c626-798d-45b6-a247-d934bee94e3b,,,,,,,
red-jade,75,10,4,2,0.2,0.05333333333333334,49,0.08163265306122448,127.75856000000002,5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21,598780a5e8d50e0001d7c273 5ba909c938803d00012708e0 5be964367514d0000108cefc 5c617fed0863210001642974 5cc7af94cd7a550019b5a460 5da4a23630871900154e0d5c 5ddf8f46d0e07e000a396562 5de0ce83cca54a1199017f73,,,1.0,22b31da8-9066-4fb0-ad03-7e4e85babf16 91132717-cb81-48af-9770-9b50f3ce0e9d 20f56b44-dcac-42b5-8ca7-44fcf4b5664d 680f9a61-5eaa-43ce-8bb2-eb3597e602c3 2b109fcc-7542-4547-9f62-325c0999d23e e1425956-8684-4a69-a2e0-3b2a72cfb44e e940de7f-cd42-4d05-8b77-62513b187663 65171042-6256-4f6c-97b8-a2f34027df03 4bd2bbed-73dc-4087-afa5-0b2a1a11853c e255e939-1b23-408a-998d-563bede18fc5 8c4830db-bad4-4d46-8637-43d22d1a34bc 4b672a13-d4eb-44a6-8558-bfa5749082ae 3864eb03-6446-4c4f-a536-45b10e100cef 70aced05-16c9-4f0b-b934-fe60f0b43d6b 40865a32-1c3e-445e-9772-2d153f667f14 a7ca84cd-a257-4b42-b504-150a223ccf54 7920ea67-0e7f-4b62-9c19-9cdfa8afba15 036c09f8-4cce-4695-866a-eef0f90358fe cfa842bf-c7ad-4c0a-a3ac-64d1ebe160e4 85541c33-c8d9-4169-850b-8b8eba0c8bc7,,1.0,,,1.0,1.0,
